classification	snippet	replace
	Tech giant Apple Inc. announced the release of its latest iPhone model next month	Tech giant #COMPANY announced the release of its latest #PRODUCT next month.
	Amazon plans to open a new fulfillment center in Texas	#COMPANY plans to open a new fulfillment center in #LOCATION.
ENTITY	"Microsoft Corporation revealed its quarterly earnings on Tuesday, surpassing analyst expectations"	"#COMPANY revealed its quarterly earnings on #DATE, surpassing analyst expectations."
PARTNER	Facebook has entered into a strategic partnership with Shopify to enhance e-commerce capabilities	#COMPANY has entered into a strategic partnership with #COMPANY to enhance e-commerce capabilities.
OTHER	Tesla's CEO Elon Musk confirmed the production of the new Cybertruck is on schedule	#COMPANY's #JOBTITLE #PERSON confirmed the production of the new #PRODUCT is on schedule.
ENTITY	Google faces a new antitrust lawsuit from the US Department of Justice	#COMPANY faces a new antitrust lawsuit from the #GOVERNMENT_AGENCY.
OTHER	Samsung Electronics reported a 15% increase in revenue for the first quarter	#COMPANY reported a 15% increase in revenue for the first quarter.
PARTNER	NVIDIA collaborates with Adobe to bring AI enhancements to creative tools	#COMPANY collaborates with #COMPANY to bring AI enhancements to creative tools.
ENTITY	Uber Technologies Inc. is expanding its services to include grocery delivery	#COMPANY is expanding its services to include grocery delivery.
OTHER	Netflix added 8 million new subscribers in the last quarter	#COMPANY added #AMOUNT new subscribers in the last quarter.
ENTITY	"Intel Corp. unveils its latest processor, aimed at gamers and content creators"	"#COMPANY unveils its latest #PRODUCT, aimed at gamers and content creators."
ENTITY	Zoom Video Communications reports a surge in usage due to remote work trends	#COMPANY reports a surge in usage due to remote work trends.
PARTNER	Salesforce and Slack have announced an integration to streamline business communication	#COMPANY and #COMPANY have announced an integration to streamline business communication.
ENTITY	Oracle acquires Cerner for $28.3 billion to boost its healthcare solutions	#COMPANY acquires #COMPANY for #AMOUNT to boost its healthcare solutions.
OTHER	Twitter introduces new features to improve user experience	#COMPANY introduces new features to improve user experience.
ENTITY	IBM partners with Delta Air Lines to develop a digital concierge service	#COMPANY partners with #COMPANY to develop a digital concierge service.
STAFFING	"Goldman Sachs plans to hire 1,000 engineers to support its digital platforms"	#COMPANY plans to hire #AMOUNT engineers to support its digital platforms.
ENTITY	Spotify launches a new feature to recommend podcasts based on user preferences	#COMPANY launches a new feature to recommend #PRODUCT based on user preferences.
DECLINE	Johnson & Johnson's stock falls after disappointing earnings report	#COMPANY's stock falls after disappointing earnings report.
ENTITY	"Ford Motor Company recalls 100,000 vehicles over safety concerns"	#COMPANY recalls #AMOUNT vehicles over safety concerns.
GROW	"PepsiCo reports growth in snack sales, offsetting declines in beverage revenue"	"#COMPANY reports growth in snack sales, offsetting declines in beverage revenue."
ENTITY	Adobe's new update to Photoshop includes several AI-powered tools	#COMPANY's new update to #PRODUCT includes several AI-powered tools.
ENTITY	LinkedIn rolls out new features to support job seekers during the pandemic	#COMPANY rolls out new features to support job seekers during the pandemic.
OTHER	Boeing secures a $1.6 billion contract with the US Air Force	#COMPANY secures a #AMOUNT contract with the #GOVERNMENT_AGENCY.
ENTITY	Snap Inc. introduces a new augmented reality feature for Snapchat	#COMPANY introduces a new augmented reality feature for #PRODUCT.
ENTITY	General Motors plans to invest $2.2 billion in electric vehicle production	#COMPANY plans to invest #AMOUNT in electric vehicle production.
ENTITY	Qualcomm unveils its latest Snapdragon processor aimed at high-end smartphones	#COMPANY unveils its latest #PRODUCT aimed at high-end smartphones.
PARTNER	Siemens and IBM collaborate on industrial AI applications	#COMPANY and #COMPANY collaborate on industrial AI applications.
OTHER	Starbucks announces new sustainability initiatives to reduce carbon footprint	#COMPANY announces new sustainability initiatives to reduce carbon footprint.
ENTITY	Pfizer reports promising results from its COVID-19 vaccine trials	#COMPANY reports promising results from its #PRODUCT trials.
ENTITY	SpaceX successfully launches another batch of Starlink satellites	#COMPANY successfully launches another batch of #PRODUCT.
ENTITY	Alibaba Group reports record sales during Singles' Day shopping event	#COMPANY reports record sales during #EVENT.
ENTITY	IBM introduces a new quantum computing system designed for commercial use	#COMPANY introduces a new #PRODUCT designed for commercial use.
ENTITY	Disney announces a new streaming service focused on sports content	#COMPANY announces a new #PRODUCT focused on sports content.
OTHER	Uber Eats partners with local restaurants to expand delivery options	#COMPANY partners with local restaurants to expand delivery options.
ENTITY	Verizon launches 5G services in more cities across the US	#COMPANY launches #PRODUCT in more cities across the #LOCATION.
PARTNER	HP and Microsoft join forces to enhance hybrid work solutions	#COMPANY and #COMPANY join forces to enhance hybrid work solutions.
ENTITY	Adobe acquires Figma for $20 billion to bolster its design software portfolio	#COMPANY acquires #COMPANY for #AMOUNT to bolster its design software portfolio.
OTHER	Lyft sees a rebound in ride-hailing demand as cities reopen	#COMPANY sees a rebound in ride-hailing demand as cities reopen.
ENTITY	Facebook rebrands to Meta to reflect its focus on the metaverse	#COMPANY rebrands to #NEW_NAME to reflect its focus on the metaverse.
ENTITY	"Samsung unveils its latest foldable smartphone, the Galaxy Z Fold 3"	"#COMPANY unveils its latest #PRODUCT, the #PRODUCT."
PARTNER	Amazon Web Services partners with Nasdaq to offer cloud-based trading solutions	#COMPANY partners with #COMPANY to offer cloud-based trading solutions.
ENTITY	Netflix announces plans to expand its gaming offerings on the platform	#COMPANY announces plans to expand its #PRODUCT offerings on the platform.
ENTITY	"Apple plans to build a new campus in North Carolina, creating 3,000 jobs"	"#COMPANY plans to build a new campus in #LOCATION, creating #AMOUNT jobs."
ENTITY	Tesla's market value exceeds $1 trillion for the first time	#COMPANY's market value exceeds #AMOUNT for the first time.
ENTITY	Google to invest $7 billion in data centers and offices across the US	#COMPANY to invest #AMOUNT in data centers and offices across the #LOCATION.
ENTITY	IBM acquires Turbonomic to enhance its AI-powered automation capabilities	#COMPANY acquires #COMPANY to enhance its AI-powered automation capabilities.
ENTITY	Microsoft announces new features for Teams to support remote collaboration	#COMPANY announces new features for #PRODUCT to support remote collaboration.
ENTITY	Salesforce completes its acquisition of Slack for $27.7 billion	#COMPANY completes its acquisition of #COMPANY for #AMOUNT.
ENTITY	Amazon Prime Video secures exclusive rights to stream NFL games	#COMPANY secures exclusive rights to stream #EVENT.
OTHER	Intel launches its latest generation of processors aimed at data centers	#COMPANY launches its latest generation of processors aimed at data centers.
ENTITY	Zoom introduces new features to enhance virtual meeting experiences	#COMPANY introduces new features to enhance virtual meeting experiences.
ENTITY	Oracle expands its cloud infrastructure with new data centers	#COMPANY expands its cloud infrastructure with new data centers.
ENTITY	Uber partners with autonomous vehicle startup Aurora	#COMPANY partners with autonomous vehicle startup #COMPANY.
ENTITY	Netflix announces a slate of new original series for 2024	#COMPANY announces a slate of new original series for #DATE.
ACQUISITION	Google acquired Fitbit for $2.1 billion to expand its wearables segment	#COMPANY acquired #COMPANY for #AMOUNT to expand its wearables segment.
PARTNERSHIP	Microsoft and Adobe announced a new partnership to integrate their cloud services	#COMPANY and #COMPANY announced a new partnership to integrate their cloud services.
FINANCIALS	Apple reported a record revenue of $123.9 billion for the first quarter of 2023	#COMPANY reported a record revenue of #AMOUNT for the first quarter of #DATE.
PRODUCT_LAUNCH	Tesla unveiled its new Model S Plaid with improved range and performance	#COMPANY unveiled its new #PRODUCT with improved range and performance.
LEGAL	Facebook faces a new lawsuit alleging privacy violations in its ad practices	#COMPANY faces a new lawsuit alleging privacy violations in its ad practices.
STAFFING	"Amazon plans to hire 150,000 seasonal workers for the holiday season"	#COMPANY plans to hire #AMOUNT seasonal workers for the holiday season.
GROWTH	Netflix saw a 25% increase in subscribers during the last fiscal year	#COMPANY saw a 25% increase in subscribers during the last fiscal year.
