date	company	relationEntity	relationEntityType	classification	snippet	country	keywords
2023-04-21	KPMG A/S			Strategy|Company Info	at KPMG where he focused on complex financial matters and financial trading, investment banking and lending businesses	US	he
2023-04-21	Gartner Inc.			Leadership	LatentView has been recognized as an industry leader by Gartner	IN	leader|industry leader
2023-04-21	Infosys Limited	Prashant Ramanujan	person		In his last role, Prashant was playing the role of Portfolio & Regional Head at Infosys, as a key leader for their Communications, Media and Entertainment business	JO	head|leader|role|key leader|regional head
2023-04-21	Fti Consulting Inc. Holding	Palmer Richard	person		We're proud of the end result of this implementation and congratulate our valued client for this award," said Richard Palmer, Senior Managing Director within the Technology segment at FTI Consulting	IE	director|segment|managing director|technology segment
2023-04-21	Wipro Limited			Market Share Growth	Wipro consolidates presence in foods with acquisition of Kerala-based Brahmins	IN	food
2023-04-21	Tata Consultancy Services Limited				Days after reports claimed that Tata Consultancy Services might roll out 100 per cent variable payout for a section of employees for the recent quarter, another IT services exporter HCLTech announced that 85 per cent	IN	payout|variable payout|section
2023-04-21	IBM Corp.			Agreements	messenger RNA (mRNA) therapeutics and vaccines, and IBM announced an agreement under which Moderna will explore next generation technologies including quantum computing and artificial intelligence to advance and accelerate mRNA research and science	IN	vaccine|agreement
2023-04-21	IBM Corp.			Company Info	Under the agreement, IBM will provide access to quantum computing systems	US	quantum computing system|agreement|access|system|computing system
2023-04-21	IBM Corp.				IBM's purpose is to be the catalyst	IN	catalyst
2023-04-21	IBM Corp.	Moderna Holding B.V.	company		Moderna and IBM scientists will apply MoLFormer, an AI foundation model that can help scientists predict a molecule's properties, and could help them understand the characteristics of potential mRNA medicines	US	molformer
2023-04-21	IBM Corp.				IBM to explore quantum computing and generative AI for mRNA science	IN	computing|generative ai|quantum computing|science|ai|mrna science
2023-04-21	IBM Corp.	Moderna Holding B.V.	company		Moderna will participate in the IBM Quantum Accelerator program and the IBM Quantum Network	US	quantum network|quantum accelerator program|accelerator program|program|network
2023-04-21	IBM Corp.			Products	Under this initiative, Moderna and IBM will combine state-of-the-art formulation discovery with generative AI to design mRNA medicines with optimal safety and performance	US	initiative|generative ai|discovery|ai|state of the art formulation discovery|formulation discovery
2023-04-21	Willis Towers Watson PLC		product	Using	A study by Willis Towers Watson found that post-millennial workers are more likely than older co-workers to use telemedicine	GB	study
2023-04-21	IBM Corp.				SAP Vertafore IBM Applied Systems Inc	JO	systems inc|inc
2023-04-21	Infosys Limited				Infosys increases 0.2% against the trend	IN	trend
2023-04-21	IBM Corp.				IBM Thailand presented on Automation	TH	automation
2023-04-21	IBM Corp.		company		IBM Thailand presented on Security	TH	security
2023-04-21	Infosys Limited				Infosys' weak performance followed by TCS snapped Sensex	IN	performance|sensex|weak performance
2023-04-21	IBM Corp.			Partnerships	Moderna and IBM have formed a partnership	GB	partnership
2023-04-21	Infosys Limited			Decline	On the contrary, Infosys saw a drop	IN	drop|contrary
2023-04-21	Wipro Limited			Publishing Numbers	Wipro, Tech Mahindra, and others are yet to announce their Q4 results	IN	other
2023-04-21	Wipro Limited	ITC	company		TCS, ITC, Wipro, Asian Paints and HCL Tech were among the gainers	IN	tech|hcl tech|tcs|gainer|paint|asian paint
2023-04-21	Gartner Inc.			Publishing Numbers	Gartner had a return on equity of 2,645.96% and a net margin of 14.75%	PA	return
2023-04-21	Infosys Limited	TCS Group Holding PLC	company		Markets are likely to end the week on a weak note, as the Nifty 50 is down over 1 per cent, triggered by a sharp fall in the IT index following weaker-than-expected results and forecasts by top companies like TCS and Infosys	IN	top company|company
2023-04-21	Aon PLC Holding		product		Aon Plc engages in the provision of risk, health, and wealth solutions	CH	provision
2023-04-21	Aon PLC Holding			Grow	AON’s quarterly revenue was up 1.6% on a year-over-year basis	CH	revenue|year over year basis|basis
2023-04-21	Aon PLC Holding			Grow	AON’s revenue for the quarter was up 1.6% compared to the same quarter last year	CH	revenue
2023-04-21	Aon PLC Holding			Publishing Numbers	AON had a return on equity of 1,165.31% and a net margin of 20.75%	CH	return
2023-04-21	Wipro Limited				Wipro imposes new elimination training on freshers,	US	training|elimination training
2023-04-21	Tata Consultancy Services Limited				In addition to this performance appraisal of top performers, TCS is also reportedly considering a hike in the base salaries of campus recruitments, reports said	IN	appraisal|hike|performance appraisal|base
2023-04-21	Wipro Limited|Infosys Limited	Wipro Limited	company		Wipro, Infosys, Axis Bank and Bajaj Finance edged higher	IN	
2023-04-21	Gartner Inc.				Kestra Advisory Services LLC’s holdings in Gartner were worth $1,957,000 at the end	IN	holding|end
2023-04-21	Gartner Inc.			Publishing Numbers	Gartner had a net margin of 14.75% and a return on equity of 2,645.96%	US	margin|return
2023-04-21	Aon PLC Holding		product		Profile Aon Plc engages in the provision of risk, health, and wealth solutions	US	provision
2023-04-21	Aon PLC Holding			Publishing Numbers	AON had a net margin of 20.75% and a return on equity of 1,165.31%	US	margin|return
2023-04-21	Aon PLC Holding				Aon plc Sees Significant Increase in Short Interest	US	increase|significant increase
2023-04-21	Infosys Limited	HCL Technologies Limited	company		HCL Tech has delivered better results in comparison to Infosys and TCS, say market expertsHCL Tech	IN	tech|result|comparison|better result
2023-04-21	Cognizant Technology Solutions Corp.		product	Using	Profile () Cognizant Technology Solutions Corp. engages in the provision of information technology, consulting, and business process outsourcing services	CA	information technology|service|consult|technology|business process outsourcing service|outsourcing service|process outsourcing service
2023-04-21	Cognizant Technology Solutions Corp.			Publishing Numbers	Cognizant Technology Solutions had a net margin of 11.79% and a return on equity of 18.92%	US	margin|return
2023-04-21	Infosys Limited			Publishing Numbers	Infosys had a net margin of 16.37% and a return on equity of 31.78%	CH	margin|return
2023-04-21	Infosys Limited			Publishing Numbers	Infosys had a return on equity of 31.78% and a net margin of 16.37%	US	return
2023-04-21	IBM Corp.	United States	location		Some of the key U.S. hardware encryption market players profiled in the report include International Business Machines Corporation,	US	hardware encryption market player|market player|encryption market player|player
2023-04-21	IBM Corp.				At the time of launch, IBM highlighted its capabilities that can reduce energy consumption	IN	capability|time
2023-04-21	IBM Corp.			Product Launch	IBM has announced the general availability of LinuxONE Bare Metal Servers	IN	availability
2023-04-21	IBM Corp.		product	Products|Company Info	With the LinuxONE bare metal server in the list, IBM, in total offers three proprietary hardware platforms in its cloud now	IN	server|bare metal server|metal server|linuxone bare metal server|list|proprietary hardware|platform|hardware
2023-04-21	IBM Corp.			Products|Company Info	IBM offers its enterprise-grade Linux platform as a service on IBM cloud	IN	service|enterprise grade linux platform|platform|linux platform
2023-04-21	PricewaterhouseCoopers International Limited				The smart contract has been audited by PwC	FR	smart contract|contract
2023-04-21	PricewaterhouseCoopers International Limited	Ontario Oil & Gas Limited	company		PwC" refers to PricewaterhouseCoopers LLP, an Ontario limited liability partnership.	CA	
2023-04-21	Wipro Limited				Wipro employees need to undergo retraining	US	retrain
2023-04-21	PricewaterhouseCoopers International Limited				Equitis Gestion has provided the role of the initial fiduciary, while PwC has audited the smart contract	SE	smart contract|contract
